"","Date","Adj.Close","Volume","SMA_50","GSPC.Adjusted","rsi"
"1","2002-05-31",0.353636,365495200,NA,1067.14001464844,NA
"2","2002-06-03",0.347717,235110400,NA,1040.68005371094,NA
"3","2002-06-04",0.345745,347821600,NA,1040.68994140625,NA
"4","2002-06-05",0.344834,277082400,NA,1049.90002441406,NA
"5","2002-06-06",0.336334,259996800,NA,1029.15002441406,NA
"6","2002-06-07",0.3248,612376800,NA,1027.53002929688,NA
"7","2002-06-10",0.326013,277575200,NA,1030.73999023438,NA
"8","2002-06-11",0.310533,349496000,NA,1013.59997558594,NA
"9","2002-06-12",0.304917,528718400,NA,1020.26000976562,NA
"10","2002-06-13",0.29657,352083200,NA,1009.55999755859,NA
"11","2002-06-14",0.305069,424900000,NA,1007.27001953125,NA
"12","2002-06-17",0.311747,324609600,NA,1036.17004394531,NA
"13","2002-06-18",0.305827,353360000,NA,1037.14001464844,NA
"14","2002-06-19",0.259839,1709467200,NA,1019.98999023438,NA
"15","2002-06-20",0.259688,396636800,NA,1006.28997802734,NA
"16","2002-06-21",0.255742,445177600,NA,989.140014648438,NA
"17","2002-06-24",0.262116,431933600,NA,992.719970703125,NA
"18","2002-06-25",0.260143,301201600,NA,976.140014648438,NA
"19","2002-06-26",0.251189,558952800,NA,973.530029296875,NA
"20","2002-06-27",0.258929,251658400,NA,990.640014648438,NA
"21","2002-06-28",0.268946,269858400,NA,989.820007324219,NA
"22","2002-07-01",0.258929,222689600,NA,968.650024414062,NA
"23","2002-07-02",0.257108,305188800,NA,948.090026855469,NA
"24","2002-07-03",0.266366,199029600,NA,953.989990234375,NA
"25","2002-07-05",0.284427,161649600,NA,989.030029296875,NA
"26","2002-07-08",0.273348,211204000,NA,976.97998046875,NA
"27","2002-07-09",0.266063,226749600,NA,952.830017089844,NA
"28","2002-07-10",0.262875,206880800,NA,920.469970703125,NA
"29","2002-07-11",0.277749,373676800,NA,927.369995117188,NA
"30","2002-07-12",0.265759,443492000,NA,921.390014648438,NA
"31","2002-07-15",0.276687,295993600,NA,917.929992675781,NA
"32","2002-07-16",0.271071,446768000,NA,900.940002441406,NA
"33","2002-07-17",0.237225,1215485600,NA,906.039978027344,NA
"34","2002-07-18",0.227512,559462400,NA,881.559997558594,NA
"35","2002-07-19",0.227056,385207200,NA,847.75,NA
"36","2002-07-22",0.226449,430897600,NA,819.849975585938,NA
"37","2002-07-23",0.219619,399890400,NA,797.700012207031,NA
"38","2002-07-24",0.230699,406593600,NA,843.429992675781,NA
"39","2002-07-25",0.21795,479354400,NA,838.679992675781,NA
"40","2002-07-26",0.217646,207704000,NA,852.840026855469,NA
"41","2002-07-29",0.227967,274960000,NA,898.960021972656,NA
"42","2002-07-30",0.23419,354838400,NA,902.780029296875,NA
"43","2002-07-31",0.231609,310699200,NA,911.619995117188,NA
"44","2002-08-01",0.224628,228956000,NA,884.659973144531,NA
"45","2002-08-02",0.219316,179060000,NA,864.239990234375,NA
"46","2002-08-05",0.212334,204024800,NA,834.599975585938,NA
"47","2002-08-06",0.223717,272053600,NA,859.570007324219,NA
"48","2002-08-07",0.228119,333474400,NA,876.77001953125,NA
"49","2002-08-08",0.232216,227348800,NA,905.460021972656,NA
"50","2002-08-09",0.227663,205716000,0.26633262,908.640014648438,NA
"51","2002-08-12",0.227512,179765600,0.26381014,903.799987792969,34.5597448294061
"52","2002-08-13",0.221441,269869600,0.26128462,884.210021972656,34.0433731461391
"53","2002-08-14",0.230244,399084000,0.2589746,919.619995117188,35.4699038835813
"54","2002-08-15",0.236922,322078400,0.25681636,930.25,36.5325032422263
"55","2002-08-16",0.239957,245224000,0.25488882,928.77001953125,37.0135223317276
"56","2002-08-19",0.242537,216557600,0.25324356,950.700012207031,37.4249527841531
"57","2002-08-20",0.241475,186625600,0.2515528,937.429992675781,37.3225284818279
"58","2002-08-21",0.244662,202428800,0.25023538,949.359985351562,37.8432734317654
"59","2002-08-22",0.242386,258311200,0.24898476,962.700012207031,37.6155353771084
"60","2002-08-23",0.238743,163245600,0.24782822,940.859985351562,37.2494517507791
"61","2002-08-26",0.235707,189968800,0.24644098,947.950012207031,36.9436881073624
"62","2002-08-27",0.225387,262231200,0.24471378,934.820007324219,35.9209415449752
"63","2002-08-28",0.22311,247973600,0.24305944,917.869995117188,35.6984381809257
"64","2002-08-29",0.22311,164169600,0.24232486,917.799987792969,35.6984381809257
"65","2002-08-30",0.223869,193519200,0.24160848,916.070007324219,35.8363857162643
"66","2002-09-03",0.213245,276936800,0.24075854,878.02001953125,34.770945484286
"67","2002-09-04",0.219771,420660800,0.23991164,893.400024414062,35.9642166165764
"68","2002-09-05",0.215217,226178400,0.23901312,879.150024414062,35.501839820703
"69","2002-09-06",0.218253,181591200,0.2383544,893.919982910156,36.0611498883845
"70","2002-09-09",0.218101,158244800,0.23753784,902.960021972656,36.0451671266114
"71","2002-09-10",0.217494,249468800,0.2365088,909.580017089844,35.9802565200359
"72","2002-09-11",0.216888,202412000,0.23566798,909.450012207031,35.9142617542447
"73","2002-09-12",0.214611,269830400,0.23481804,886.909973144531,35.6638138351508
"74","2002-09-13",0.215066,282951200,0.23379204,889.809997558594,35.7552780606294
"75","2002-09-16",0.220075,286641600,0.232505,891.099975585938,36.7638635134068
"76","2002-09-17",0.224628,427996800,0.2315306,873.52001953125,37.6715149837679
"77","2002-09-18",0.227967,328641600,0.23076868,869.460021972656,38.3337658416651
"78","2002-09-19",0.221289,205945600,0.22993696,843.320007324219,37.5200716833051
"79","2002-09-20",0.22569,352788800,0.22889578,845.390014648438,38.3995566241521
"80","2002-09-23",0.225387,263709600,0.22808834,833.700012207031,38.3615743029531
"81","2002-09-24",0.2222,250661600,0.2269986,819.289978027344,37.9591301256043
"82","2002-09-25",0.226601,254682400,0.2261092,839.659973144531,38.8628163256843
"83","2002-09-26",0.22311,208644800,0.2258269,854.950012207031,38.4099994423729
"84","2002-09-27",0.223413,206152800,0.22574492,827.369995117188,38.4735866859224
"85","2002-09-30",0.220075,237697600,0.2256053,815.280029296875,38.0327381034539
"86","2002-10-01",0.220226,342423200,0.22548084,847.909973144531,38.0655502071479
"87","2002-10-02",0.215066,229348000,0.22538978,827.909973144531,37.376680886696
"88","2002-10-03",0.217039,217896000,0.22511658,818.950012207031,37.8156916724122
"89","2002-10-04",0.212941,190825600,0.2250164,800.580017089844,37.2620345381411
"90","2002-10-07",0.208995,244697600,0.22484338,785.280029296875,36.7335091084742
"91","2002-10-08",0.207629,453644800,0.22443662,798.549987792969,36.5504111228903
"92","2002-10-09",0.206263,356686400,0.22387808,776.760009765625,36.365448480753
"93","2002-10-10",0.214155,321574400,0.223529,803.919982910156,38.2090064671392
"94","2002-10-11",0.220226,294677600,0.22344096,835.320007324219,39.5830317183121
"95","2002-10-14",0.224172,194404000,0.22353808,841.440002441406,40.4611676131912
"96","2002-10-15",0.230091,405518400,0.22389322,881.27001953125,41.7568076185064
"97","2002-10-16",0.220985,307624800,0.22383858,860.02001953125,40.3774128501045
"98","2002-10-17",0.214155,469296800,0.2235593,879.200012207031,39.3817398271876
"99","2002-10-18",0.217646,288299200,0.2232679,884.390014648438,40.1513867679426
"100","2002-10-21",0.220985,238520800,0.22313434,899.719970703125,40.8840809512826
"101","2002-10-22",0.22311,218148000,0.2230463,890.159973144531,41.3502756325285
"102","2002-10-23",0.225842,209036800,0.22313432,896.140014648438,41.9508121793812
"103","2002-10-24",0.222958,174748000,0.2229886,882.5,41.4931335101917
"104","2002-10-25",0.234038,279070400,0.22293092,897.650024414062,43.8929248535439
"105","2002-10-28",0.236922,349300000,0.22287022,890.22998046875,44.4975567300011
"106","2002-10-29",0.234341,259179200,0.2227063,882.150024414062,44.0639971773315
"107","2002-10-30",0.242537,270676000,0.22272754,890.710021972656,45.7763231733153
"108","2002-10-31",0.243903,295836800,0.22271236,885.760009765625,46.0571298632716
"109","2002-11-01",0.248305,189828800,0.22283074,900.960021972656,46.9604077753225
"110","2002-11-04",0.256349,376818400,0.22318286,908.349975585938,48.5663847522365
"111","2002-11-05",0.256501,210694400,0.22359874,915.390014648438,48.5964224016145
"112","2002-11-06",0.261357,216389600,0.22431814,923.760009765625,49.5560584946439
"113","2002-11-07",0.24284,336179200,0.22471274,902.650024414062,46.200453767066
"114","2002-11-08",0.240412,190064000,0.22505878,894.739990234375,45.7855863332103
"115","2002-11-11",0.230091,152975200,0.22518322,876.190002441406,44.0693047635548
"116","2002-11-12",0.237377,223792800,0.22566586,882.950012207031,45.5398167033758
"117","2002-11-13",0.236618,231739200,0.2260028,882.530029296875,45.4128937803576
"118","2002-11-14",0.247394,141713600,0.22664634,904.27001953125,47.5313681360635
"119","2002-11-15",0.242082,160994400,0.22712292,909.830017089844,46.6212044596921
"120","2002-11-18",0.237528,164578400,0.22751146,900.359985351562,45.8532681127068
"121","2002-11-19",0.231762,210952000,0.22779682,896.739990234375,44.8974697231195
"122","2002-11-20",0.235707,208740000,0.2281732,914.150024414062,45.6878261040797
"123","2002-11-21",0.248153,418482400,0.22884404,933.760009765625,48.0846950414307
"124","2002-11-22",0.242993,227858400,0.22940258,930.549987792969,47.2033925752689
"125","2002-11-25",0.242386,199427200,0.2298488,932.869995117188,47.0997945683394
"126","2002-11-26",0.233886,240262400,0.23003396,913.309997558594,45.6674171109108
"127","2002-11-27",0.238591,286798400,0.23024644,938.869995117188,46.5848937951618
"128","2002-11-29",0.235252,143432800,0.2305257,936.309997558594,46.0221259722082
"129","2002-12-02",0.230395,398742400,0.2306198,934.530029296875,45.2112587395526
"130","2002-12-03",0.230091,227869600,0.23071388,920.75,45.1605440942192
"131","2002-12-04",0.227208,325757600,0.23081404,917.580017089844,44.6745030010618
"132","2002-12-05",0.222048,243398400,0.23072298,906.549987792969,43.8135692201307
"133","2002-12-06",0.226904,245358400,0.23079886,912.22998046875,44.8345809242498
"134","2002-12-09",0.223869,236084800,0.23080798,892,44.3209762000628
"135","2002-12-10",0.231913,308610400,0.23104474,904.450012207031,45.9940656657604
"136","2002-12-11",0.2351,253500800,0.23134222,904.960021972656,46.6423337229095
"137","2002-12-12",0.230547,149340800,0.23165184,901.580017089844,45.8402410926097
"138","2002-12-13",0.224476,164780000,0.23180058,889.47998046875,44.7921935350944
"139","2002-12-16",0.225387,251624800,0.2320495,910.400024414062,44.9848179317342
"140","2002-12-17",0.228878,222661600,0.23244716,902.989990234375,45.7251142005448
"141","2002-12-18",0.221137,150701600,0.23271732,891.119995117188,44.3740484639851
"142","2002-12-19",0.215521,347519200,0.23290248,884.25,43.4240529073704
"143","2002-12-20",0.214611,318096800,0.2329116,895.760009765625,43.2708443248959
"144","2002-12-23",0.219923,125826400,0.23290554,897.380004882812,44.4381669520406
"145","2002-12-24",0.21795,39340000,0.2327811,892.469970703125,44.0943416609724
"146","2002-12-26",0.218557,85422400,0.23255042,889.659973144531,44.2297927445203
"147","2002-12-27",0.213396,80035200,0.23239864,875.400024414062,43.3190215533002
"148","2002-12-30",0.213548,155041600,0.2323865,879.390014648438,43.3541081695111
"149","2002-12-31",0.217494,200726400,0.23238346,879.820007324219,44.2672767266645
"150","2003-01-02",0.224628,181428800,0.23245632,909.030029296875,45.8766662658431
