"","Date","Adj.Close","Volume","SMA_50","rsi","GSPC"
"2002-09-11","2002-09-11",15.121428,77443200,15.3391956,48.5160053147075,909.450012207031
"2002-09-12","2002-09-12",14.676318,63726800,15.31248876,47.4404432825369,886.909973144531
"2002-09-13","2002-09-13",14.912878,59549200,15.28802286,48.0648424407248,889.809997558594
"2002-09-16","2002-09-16",14.872412,50166200,15.24400924,47.9653828330097,891.099975585938
"2002-09-17","2002-09-17",14.719889,73343400,15.20896022,47.5866564149819,873.52001953125
"2002-09-18","2002-09-18",14.863083,83951800,15.1749697,47.9801192730568,869.460021972656
"2002-09-19","2002-09-19",14.691877,77777600,15.14359362,47.5446648449077,843.320007324219
"2002-09-20","2002-09-20",14.772816,130619200,15.10966548,47.773306995682,845.390014648438
"2002-09-23","2002-09-23",14.078689,89783800,15.06839148,46.0178075061497,833.700012207031
"2002-09-24","2002-09-24",14.206306,104142200,15.03004324,46.3874101209183,819.289978027344
"2002-09-25","2002-09-25",14.477099,107116600,15.00053486,47.1706036888266,839.659973144531
"2002-09-26","2002-09-26",14.380615,100852200,14.96442784,46.921381564074,854.950012207031
"2002-09-27","2002-09-27",14.084911,81011600,14.9279472,46.1587603162429,827.369995117188
"2002-09-30","2002-09-30",13.614892,115577000,14.89171558,44.9732141464535,815.280029296875
"2002-10-01","2002-10-01",14.389948,110636600,14.88374708,47.2528212687665,847.909973144531
"2002-10-02","2002-10-02",14.196965,103488600,14.89993306,46.7606320202677,827.909973144531
"2002-10-03","2002-10-03",13.944841,105221400,14.89103092,46.1202127094249,818.950012207031
"2002-10-04","2002-10-04",13.624231,107120400,14.89688274,45.3149266027122,800.580017089844
"2002-10-07","2002-10-07",13.71139,89790000,14.88878984,45.5785127989147,785.280029296875
"2002-10-08","2002-10-08",14.00398,115667600,14.86849534,46.4625255143559,798.549987792969
"2002-10-09","2002-10-09",13.692709,123142600,14.84290912,45.6574352758909,776.760009765625
"2002-10-10","2002-10-10",14.436643,118515000,14.8329486,47.8607583028497,803.919982910156
"2002-10-11","2002-10-11",15.211699,108828800,14.85237182,50.015277823666,835.320007324219
"2002-10-14","2002-10-14",15.342428,76216200,14.88275148,50.3682751230449,841.440002441406
"2002-10-15","2002-10-15",16.276234,133374200,14.93442198,52.7979001738377,881.27001953125
"2002-10-16","2002-10-16",15.69105,95437400,14.96393006,51.1953158853872,860.02001953125
"2002-10-17","2002-10-17",15.803105,182602400,14.98683928,51.4830667497395,879.200012207031
"2002-10-18","2002-10-18",16.543928,152817200,15.0132348,53.3389780502431,884.390014648438
"2002-10-21","2002-10-21",16.344719,112378600,15.04056426,52.7849232902995,899.719970703125
"2002-10-22","2002-10-22",16.083246,87159000,15.06048532,52.0606726041335,890.159973144531
"2002-10-23","2002-10-23",16.559498,110866600,15.09870918,53.25279647159,896.140014648438
"2002-10-24","2002-10-24",15.946294,95833400,15.10817174,51.5679603935154,882.5
"2002-10-25","2002-10-25",16.397627,75425800,15.12628746,52.6921109104758,897.650024414062
"2002-10-28","2002-10-28",16.170412,79906600,15.13842688,52.0712165553611,890.22998046875
"2002-10-29","2002-10-29",16.207752,90517200,15.1388626,52.1657618006523,882.150024414062
"2002-10-30","2002-10-30",16.531483,94451200,15.15174926,52.9859271716669,890.710021972656
"2002-10-31","2002-10-31",16.643534,105973800,15.15915736,53.2689435737067,885.760009765625
"2002-11-01","2002-11-01",16.49724,105097800,15.15772556,52.8451459622264,900.960021972656
"2002-11-04","2002-11-04",17.46217,139964200,15.18187992,55.2417376923023,908.349975585938
"2002-11-05","2002-11-05",17.642706,76658200,15.210392,55.6718570592414,915.390014648438
"2002-11-06","2002-11-06",17.751652,115407000,15.24892702,55.9326187177611,923.760009765625
"2002-11-07","2002-11-07",17.434156,73699600,15.2902011,54.970993327305,902.650024414062
"2002-11-08","2002-11-08",17.150908,64522200,15.31833992,54.1238741349479,894.739990234375
"2002-11-11","2002-11-11",16.764931,58341200,15.34809726,52.9884818081812,876.190002441406
"2002-11-12","2002-11-12",16.967253,81398600,15.39472522,53.5101329927733,882.950012207031
"2002-11-13","2002-11-13",17.231838,107370200,15.4392367,54.188450605493,882.530029296875
"2002-11-14","2002-11-14",17.739202,78337000,15.50821406,55.4600953225935,904.27001953125
"2002-11-15","2002-11-15",17.645824,77533600,15.56343304,55.1724714314272,909.830017089844
"2002-11-18","2002-11-18",17.384357,58086400,15.60794458,54.36689547334,900.359985351562
"2002-11-19","2002-11-19",17.076199,76403400,15.6395073,53.42871242172,896.739990234375
"2002-11-20","2002-11-20",17.624029,76435400,15.68955932,54.8423443861345,914.150024414062
"2002-11-21","2002-11-21",18.003782,82922200,15.7561086,55.7915179855682,933.760009765625
"2002-11-22","2002-11-22",18.122059,70002000,15.82029222,56.0848953893495,930.549987792969
"2002-11-25","2002-11-25",18.125175,61583000,15.88534748,56.0927183980626,932.869995117188
"2002-11-26","2002-11-26",17.711185,68650400,15.9451734,54.7684138386458,913.309997558594
"2002-11-27","2002-11-27",18.078485,55191800,16.00948144,55.7149635852271,938.869995117188
"2002-11-29","2002-11-29",17.953983,28393000,16.07472356,55.314563127487,936.309997558594
"2002-12-02","2002-12-02",17.95709,63735000,16.13840904,55.3227524598824,934.530029296875
"2002-12-03","2002-12-03",17.652042,58457400,16.2098761,54.32695603916,920.75
"2002-12-04","2002-12-04",17.599129,83892000,16.27773256,54.1544147876877,917.580017089844
"2002-12-05","2002-12-05",17.225609,68435800,16.33270276,52.9432605346078,906.549987792969
"2002-12-06","2002-12-06",17.266081,71670200,16.39041208,53.0593129959282,912.22998046875
"2002-12-09","2002-12-09",16.662212,63862800,16.4419581,51.1388209413949,892
"2002-12-10","2002-12-10",16.811619,63730200,16.50589264,51.5812836107761,904.450012207031
"2002-12-11","2002-12-11",17.013948,69186200,16.55837264,52.1796577963029,904.960021972656
"2002-12-12","2002-12-12",16.861423,55242000,16.6116618,51.688287570047,901.580017089844
"2002-12-13","2002-12-13",16.341606,65245400,16.6595971,50.0492184704173,889.47998046875
"2002-12-16","2002-12-16",16.957912,60140400,16.72627072,51.8947464993017,910.400024414062
"2002-12-17","2002-12-17",16.920568,49549800,16.79045428,51.7764432192494,902.989990234375
"2002-12-18","2002-12-18",16.662212,62709400,16.84361892,50.9565654073909,891.119995117188
"2002-12-19","2002-12-19",16.531483,82686600,16.9003944,50.5433059171724,884.25
"2002-12-20","2002-12-20",16.509689,98294600,16.94185532,50.473689700896,895.760009765625
"2002-12-23","2002-12-23",16.808506,48798400,16.97379146,51.410259071348,897.380004882812
"2002-12-24","2002-12-24",16.752481,18386000,17.00199252,51.2249222837458,892.469970703125
"2002-12-26","2002-12-26",16.618637,37228000,17.00884058,50.7786881757863,889.659973144531
"2002-12-27","2002-12-27",16.487902,40891600,17.02477762,50.3416080135593,875.400024414062
"2002-12-30","2002-12-30",16.419422,48019600,17.03710396,50.1110581815465,879.390014648438
"2002-12-31","2002-12-31",16.09259,58208800,17.0280772,49.0177836912901,879.820007324219
"2003-01-02","2003-01-02",16.721352,67025200,17.03560986,51.1115967430328,909.030029296875
"2003-01-03","2003-01-03",16.743141,55546800,17.04880776,51.1824913837686,908.590026855469
"2003-01-06","2003-01-06",17.048183,59456200,17.05858146,52.1732817724857,929.010009765625
"2003-01-07","2003-01-07",17.368788,80517400,17.08703134,53.1921307337667,922.929992675781
"2003-01-08","2003-01-08",16.883207,64566000,17.09674294,51.496701109001,909.929992675781
"2003-01-09","2003-01-09",17.37191,61808000,17.1207729,53.0340247253546,927.570007324219
"2003-01-10","2003-01-10",17.406141,67730200,17.14474068,53.1402062078226,927.570007324219
