"","Date","Adj.Close","Volume","SMA_50","rsi","GSPC"
"2002-07-26","2002-07-26",0.6465,111134000,NA,NA,852.840026855469
"2002-07-29","2002-07-29",0.7165,140990000,NA,NA,898.960021972656
"2002-07-30","2002-07-30",0.7385,111178000,NA,NA,902.780029296875
"2002-07-31","2002-07-31",0.7225,76020000,NA,NA,911.619995117188
"2002-08-01","2002-08-01",0.708,121336000,NA,NA,884.659973144531
"2002-08-02","2002-08-02",0.692,83572000,NA,NA,864.239990234375
"2002-08-05","2002-08-05",0.6435,77146000,NA,NA,834.599975585938
"2002-08-06","2002-08-06",0.687,94038000,NA,NA,859.570007324219
"2002-08-07","2002-08-07",0.68,111114000,NA,NA,876.77001953125
"2002-08-08","2002-08-08",0.695,109416000,NA,NA,905.460021972656
"2002-08-09","2002-08-09",0.713,95558000,0.78758,NA,908.640014648438
"2002-08-12","2002-08-12",0.723,70066000,0.78381,43.2413048054514,903.799987792969
"2002-08-13","2002-08-13",0.6965,104688000,0.77978,42.4187608991582,884.210021972656
"2002-08-14","2002-08-14",0.6955,138704000,0.77572,42.3877136613143,919.619995117188
"2002-08-15","2002-08-15",0.731,100932000,0.77235,43.8757825450649,930.25
"2002-08-16","2002-08-16",0.745,73042000,0.76908,44.4531351922515,928.77001953125
"2002-08-19","2002-08-19",0.775,85542000,0.766,45.6750941479296,950.700012207031
"2002-08-20","2002-08-20",0.799,154026000,0.76468,46.6334599749765,937.429992675781
"2002-08-21","2002-08-21",0.769,145684000,0.76292,45.607218807854,949.359985351562
"2002-08-22","2002-08-22",0.7865,137082000,0.76157,46.3105032042849,962.700012207031
"2002-08-23","2002-08-23",0.7585,100776000,0.75931,45.3531084326847,940.859985351562
"2002-08-26","2002-08-26",0.7465,128192000,0.75742,44.9467532682107,947.950012207031
"2002-08-27","2002-08-27",0.726,71578000,0.75353,44.2555365352615,934.820007324219
"2002-08-28","2002-08-28",0.7285,99710000,0.74932,44.36201135303,917.869995117188
"2002-08-29","2002-08-29",0.757,135836000,0.74616,45.5713617099224,917.799987792969
"2002-08-30","2002-08-30",0.747,68794000,0.74355,45.2194474276077,916.070007324219
"2002-09-03","2002-09-03",0.73,93604000,0.74062,44.6217096004794,878.02001953125
"2002-09-04","2002-09-04",0.7415,88608000,0.73794,45.1224402592496,893.400024414062
"2002-09-05","2002-09-05",0.7125,106404000,0.73685,44.0964506189731,879.150024414062
"2002-09-06","2002-09-06",0.7655,99906000,0.73631,46.3705284435714,893.919982910156
"2002-09-09","2002-09-09",0.8255,176450000,0.73696,48.7775254423769,902.960021972656
"2002-09-10","2002-09-10",0.8565,224976000,0.73784,49.9615493976955,909.580017089844
"2002-09-11","2002-09-11",0.8555,133264000,0.7414,49.9235621551111,909.450012207031
"2002-09-12","2002-09-12",0.8375,141302000,0.74483,49.2360016126023,886.909973144531
"2002-09-13","2002-09-13",0.8305,73098000,0.74719,48.9683816313966,889.809997558594
"2002-09-16","2002-09-16",0.8355,59250000,0.74869,49.1697565215141,891.099975585938
"2002-09-17","2002-09-17",0.8675,172424000,0.7511,50.4467609581236,873.52001953125
"2002-09-18","2002-09-18",0.8865,167820000,0.75323,51.1897098503365,869.460021972656
"2002-09-19","2002-09-19",0.8605,96822000,0.75548,50.1400091278119,843.320007324219
"2002-09-20","2002-09-20",0.793,252112000,0.75579,47.5565753307696,845.390014648438
"2002-09-23","2002-09-23",0.8025,148090000,0.75641,47.9417850256204,833.700012207031
"2002-09-24","2002-09-24",0.7965,141458000,0.7564,47.7159098798833,819.289978027344
"2002-09-25","2002-09-25",0.7865,186780000,0.75584,47.3366144892507,839.659973144531
"2002-09-26","2002-09-26",0.8575,232700000,0.75683,50.204331316613,854.950012207031
"2002-09-27","2002-09-27",0.8505,140674000,0.758289999999999,49.9307974087513,827.369995117188
"2002-09-30","2002-09-30",0.7965,184798000,0.75893,47.8774224301148,815.280029296875
"2002-10-01","2002-10-01",0.8475,184346000,0.76038,49.8644161361488,847.909973144531
"2002-10-02","2002-10-02",0.8505,164472000,0.76284,49.9788734357465,827.909973144531
"2002-10-03","2002-10-03",0.8375,127082000,0.765489999999999,49.4793869707863,818.950012207031
"2002-10-04","2002-10-04",0.8275,152988000,0.76955,49.0942654361043,800.580017089844
"2002-10-07","2002-10-07",0.832,114962000,0.77326,49.2755582787432,785.280029296875
"2002-10-08","2002-10-08",0.847,121960000,0.77587,49.8826457969382,798.549987792969
"2002-10-09","2002-10-09",0.843,121670000,0.777959999999999,49.7207202435472,776.760009765625
"2002-10-10","2002-10-10",0.898,210572000,0.781469999999999,51.9109414666598,803.919982910156
"2002-10-11","2002-10-11",0.923,192570000,0.78577,52.863318066496,835.320007324219
"2002-10-14","2002-10-14",0.96,197448000,0.79113,54.2321771880393,841.440002441406
"2002-10-15","2002-10-15",0.947,280184000,0.7972,53.6733565465655,881.27001953125
"2002-10-16","2002-10-16",0.9745,174842000,0.80295,54.6813479858181,860.02001953125
"2002-10-17","2002-10-17",0.937,283618000,0.80809,53.0744629530947,879.200012207031
"2002-10-18","2002-10-18",0.952,131366000,0.813229999999999,53.6306382086115,884.390014648438
"2002-10-21","2002-10-21",0.963,135154000,0.818229999999999,54.0382736144927,899.719970703125
"2002-10-22","2002-10-22",0.969,172914000,0.82315,54.262068110156,890.159973144531
"2002-10-23","2002-10-23",0.9875,132962000,0.82897,54.9521858241557,896.140014648438
"2002-10-24","2002-10-24",0.993,258598000,0.834919999999999,55.1574428181369,882.5
"2002-10-25","2002-10-25",0.965,318000000,0.839599999999999,53.882059051579,897.650024414062
"2002-10-28","2002-10-28",0.9295,175996000,0.84329,52.31702437714,890.22998046875
"2002-10-29","2002-10-29",0.9285,144840000,0.84636,52.2733827948035,882.150024414062
"2002-10-30","2002-10-30",0.954,137776000,0.84946,53.2873219811931,890.710021972656
"2002-10-31","2002-10-31",0.968,136452000,0.85344,53.8367482138818,885.760009765625
"2002-11-01","2002-11-01",0.99,110988000,0.85751,54.6912744040258,900.960021972656
"2002-11-04","2002-11-04",0.939,259270000,0.86112,52.3969434852388,908.349975585938
"2002-11-05","2002-11-05",0.936,158848000,0.86491,52.2653362361375,915.390014648438
"2002-11-06","2002-11-06",0.967,159468000,0.86973,53.4969288432832,923.760009765625
"2002-11-07","2002-11-07",0.956,128394000,0.87428,53.0017867525358,902.650024414062
"2002-11-08","2002-11-08",0.9755,140642000,0.87865,53.7756891724756,894.739990234375
"2002-11-11","2002-11-11",0.95,114992000,0.88271,52.6194953652029,876.190002441406
"2002-11-12","2002-11-12",0.991,209244000,0.88793,54.2338779649085,882.950012207031
"2002-11-13","2002-11-13",1.0205,364124000,0.89351,55.3508221710671,882.530029296875
"2002-11-14","2002-11-14",1.0605,263546000,0.90047,56.8092718077252,904.27001953125
"2002-11-15","2002-11-15",1.1105,245168000,0.90737,58.5367934564732,909.830017089844
"2002-11-18","2002-11-18",1.121,506670000,0.91328,58.8891530230124,900.359985351562
"2002-11-19","2002-11-19",1.0645,245178000,0.91744,56.2638279406274,896.739990234375
"2002-11-20","2002-11-20",1.145,265888000,0.92323,58.9259968717147,914.150024414062
"2002-11-21","2002-11-21",1.17,225770000,0.92988,59.7032850927003,933.760009765625
"2002-11-22","2002-11-22",1.1995,233732000,0.93726,60.6010369340828,930.549987792969
"2002-11-25","2002-11-25",1.2125,201822000,0.9448,60.9918219105479,932.869995117188
"2002-11-26","2002-11-26",1.17,128116000,0.95085,59.0383525144809,913.309997558594
"2002-11-27","2002-11-27",1.204,113320000,0.9572,60.0820331701599,938.869995117188
"2002-11-29","2002-11-29",1.1675,51546000,0.96334,58.4506109499082,936.309997558594
"2002-12-02","2002-12-02",1.2055,223050000,0.97159,59.6155435044184,934.530029296875
"2002-12-03","2002-12-03",1.187,118022000,0.97928,58.7966075990202,920.75
"2002-12-04","2002-12-04",1.1695,157578000,0.98674,58.0271867950511,917.580017089844
"2002-12-05","2002-12-05",1.129,212852000,0.99359,56.2877220024237,906.549987792969
"2002-12-06","2002-12-06",1.1305,187870000,0.99905,56.3371882017903,912.22998046875
"2002-12-09","2002-12-09",1.084,149094000,1.00372,54.3902228619544,892
"2002-12-10","2002-12-10",1.093,141874000,1.00965,54.6994187065164,904.450012207031
"2002-12-11","2002-12-11",1.1065,127746000,1.01483,55.1646380106294,904.960021972656
"2002-12-12","2002-12-12",1.115,119550000,1.02012,55.4585230122329,901.580017089844
"2002-12-13","2002-12-13",1.109,77184000,1.02555,55.1979138287036,889.47998046875
"2002-12-16","2002-12-16",1.1255,98814000,1.03151,55.781001420814,910.400024414062
"2002-12-17","2002-12-17",1.123,68390000,1.03733,55.6689884763894,902.989990234375
"2002-12-18","2002-12-18",1.105,79856000,1.04249,54.8596094087672,891.119995117188
"2002-12-19","2002-12-19",1.0845,116288000,1.04732,53.9480791351072,884.25
"2002-12-20","2002-12-20",1.0965,98706000,1.05129,54.4006432298932,895.760009765625
"2002-12-23","2002-12-23",1.112,88490000,1.05507,54.9837148740191,897.380004882812
"2002-12-24","2002-12-24",1.094,46972000,1.05775,54.1630187637681,892.469970703125
"2002-12-26","2002-12-26",1.015,283986000,1.05911,50.7692857130749,889.659973144531
"2002-12-27","2002-12-27",0.943,439456000,1.05848,47.9737950644115,875.400024414062
"2002-12-30","2002-12-30",0.9625,165694000,1.05899,48.7536170952821,879.390014648438
"2002-12-31","2002-12-31",0.9445,110740000,1.05884,48.0748777460726,879.820007324219
